2019-05-29 13:58:32 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 13,14; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 276.0; Tile: ROAD
2019-05-29 13:58:32 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 13,15; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 275.0; Tile: ROAD
2019-05-29 13:58:32 INFO  Car - Speed:   0.0; Angle:   WEST; Position: 13,15; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 275.0; Tile: ROAD
2019-05-29 13:58:32 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 14,15; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 274.0; Tile: ROAD
2019-05-29 13:58:32 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 15,15; Parcels:      2; Health:  25.0; Health Usage:  45.0; Fuel: 273.0; Tile: TRAP(lava)
2019-05-29 13:58:32 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 16,15; Parcels:      3; Health:  25.0; Health Usage:  45.0; Fuel: 272.0; Tile: ROAD
2019-05-29 13:58:32 INFO  Car - Speed:   0.0; Angle:   WEST; Position: 16,15; Parcels:      3; Health:  25.0; Health Usage:  45.0; Fuel: 272.0; Tile: ROAD
2019-05-29 13:58:32 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 15,15; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 271.0; Tile: TRAP(lava)
2019-05-29 13:58:32 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 14,15; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 270.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 13,15; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 269.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 13,14; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 268.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 12,14; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 267.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 11,14; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 266.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 10,14; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 265.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  9,14; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 264.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  8,14; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 263.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  8,13; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 262.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  8,12; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 261.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  8,11; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 260.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  8,10; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 259.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   8,9; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 258.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   8,8; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 257.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   8,7; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 256.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   8,6; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 255.0; Tile: ROAD
2019-05-29 13:58:33 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:   8,5; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 254.0; Tile: ROAD
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:   EAST; Position:   9,5; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 253.0; Tile: ROAD
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  10,5; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 252.0; Tile: ROAD
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  11,5; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 251.0; Tile: ROAD
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  11,4; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 250.0; Tile: ROAD
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  11,3; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 249.0; Tile: ROAD
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  11,2; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 248.0; Tile: ROAD
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  12,2; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 247.0; Tile: ROAD
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  13,2; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 246.0; Tile: ROAD
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  14,2; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 245.0; Tile: ROAD
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  15,2; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 244.0; Tile: ROAD
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  16,2; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 243.0; Tile: ROAD
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  17,2; Parcels:      3; Health:  20.0; Health Usage:  45.0; Fuel: 242.0; Tile: ROAD
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  18,2; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 241.0; Tile: TRAP(lava)
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  19,2; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 240.0; Tile: ROAD
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  20,2; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 239.0; Tile: ROAD
2019-05-29 13:58:34 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  20,3; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 238.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  20,4; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 237.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  20,5; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 236.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  20,6; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 235.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  20,7; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 234.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  20,8; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 233.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:  NORTH; Position:  20,9; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 232.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 20,10; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 231.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 20,11; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 230.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 21,11; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 229.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 21,12; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 228.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 22,12; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 227.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 22,13; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 226.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 22,14; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 225.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 23,14; Parcels:      3; Health:  15.0; Health Usage:  45.0; Fuel: 224.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 23,15; Parcels:      4; Health:  15.0; Health Usage:  45.0; Fuel: 223.0; Tile: ROAD
2019-05-29 13:58:35 INFO  Car - Speed:   1.0; Angle:  NORTH; Position: 23,16; Parcels:      4; Health:  15.0; Health Usage:  45.0; Fuel: 222.0; Tile: FINISH
